        30,      2900,  1952,  2305,  2142,    57,  2497,  3314,   438,  3982,  1698,   246,  3504,  2266
        31,      3000,  1952,  2290,  2157,    75,  2442,  3365,   393,  3956,  1774,   217,  3462,  2342
        32,      3100,  1951,  2275,  2170,    97,  2387,  3413,   351,  3928,  1851,   191,  3418,  2418
        33,      3200,  1951,  2259,  2184,   121,  2332,  3460,   311,  3898,  1928,   168,  3371,  2493
        34,      3300,  1951,  2242,  2197,   148,  2277,  3504,   273,  3865,  2004,   147,  3323,  2568
        35,      3400,  1951,  2226,  2210,   177,  2221,  3547,   237,  3830,  2081,   129,  3273,  2642
        36,      3500,  1951,  2209,  2223,   209,  2164,  3587,   204,  3793,  2158,   113,  3221,  2715
        37,      3600,  1951,  2191,  2236,   244,  2108,  3625,   173,  3753,  2235,   101,  3168,  2787
        38,      3700,  1952,  2173,  2248,   282,  2051,  3661,   144,  3711,  2312,    91,  3112,  2859
        39,      3800,  1952,  2155,  2259,   321,  1995,  3695,   118,  3668,  2388,    84,  3056,  2929
        40,      3900,  1953,  2137,  2271,   364,  1939,  3726,    95,  3622,  2463,    79,  2997,  2997
        41,      4000,  1953,  2119,  2282,   409,  1882,  3755,    74,  3574,  2538,    78,  2938,  3065
        42,      4100,  1954,  2100,  2293,   456,  1826,  3782,    56,  3524,  2613,    79,  2876,  3131
        43,      4200,  1955,  2081,  2303,   505,  1771,  3806,    40,  3472,  2686,    83,  2814,  3195
        44,      4300,  1956,  2062,  2313,   556,  1716,  3828,    27,  3419,  2759,    90,  2751,  3258
        45,      4400,  1957,  2043,  2322,   610,  1661,  3847,    16,  3364,  2830,    99,  2686,  3319
        46,      4500,  1959,  2024,  2331,   666,  1607,  3863,     8,  3307,  2901,   112,  2621,  3379
        47,      4600,  1960,  2005,  2339,   724,  1553,  3877,     3,  3249,  2970,   127,  2555,  3436
        48,      4700,  1962,  1985,  2348,   783,  1500,  3889,     1,  3190,  3038,   145,  2487,  3491
        49,      4800,  1963,  1966,  2355,   845,  1448,  3898,     1,  3129,  3105,   165,  2420,  3545
        50,      4900,  1965,  1947,  2362,   908,  1397,  3904,     4,  3066,  3170,   188,  2351,  3596
        51,      5000,  1967,  1927,  2369,   972,  1347,  3907,     9,  3003,  3233,   214,  2283,  3645
        52,      5100,  1969,  1908,  2375,  1039,  1297,  3908,    17,  2938,  3295,   243,  2213,  3692
        53,      5200,  1971,  1889,  2380,  1106,  1249,  3906,    28,  2873,  3355,   274,  2144,  3736
        54,      5300,  1973,  1870,  2385,  1175,  1202,  3902,    42,  2806,  3413,   307,  2074,  3778
        55,      5400,  1975,  1851,  2389,  1246,  1156,  3895,    58,  2739,  3469,   343,  2004,  3818
        56,      5500,  1977,  1832,  2393,  1317,  1112,  3886,    76,  2671,  3523,   382,  1934,  3855
        57,      5600,  1979,  1814,  2397,  1389,  1068,  3873,    98,  2602,  3575,   423,  1865,  3889
        58,      5700,  1982,  1796,  2399,  1463,  1026,  3859,   121,  2533,  3625,   466,  1795,  3921
        59,      5800,  1984,  1778,  2402,  1537,   986,  3841,   148,  2464,  3673,   511,  1726,  3951
        60,      5900,  1987,  1760,  2403,  1612,   947,  3821,   177,  2394,  3718,   558,  1657,  3977
        61,      6000,  1990,  1743,  2404,  1688,   910,  3799,   208,  2324,  3761,   608,  1589,  4001
        62,      6100,  1992,  1726,  2405,  1764,   874,  3774,   241,  2253,  3802,   660,  1521,  4022
        63,      6200,  1995,  1709,  2405,  1840,   840,  3747,   277,  2183,  3840,   713,  1454,  4040
        64,      6300,  1998,  1693,  2404,  1917,   808,  3717,   315,  2113,  3875,   769,  1388,  4056
        65,      6400,  2001,  1677,  2403,  1994,   778,  3685,   356,  2043,  3908,   826,  1323,  4068
        66,      6500,  2004,  1661,  2401,  2071,   749,  3651,   399,  1973,  3939,   885,  1258,  4078
        67,      6600,  2007,  1646,  2399,  2148,   722,  3614,   443,  1903,  3966,   946,  1195,  4084
        68,      6700,  2010,  1632,  2396,  2225,   697,  3575,   490,  1834,  3991,  1008,  1133,  4088
        69,      6800,  2013,  1617,  2392,  2302,   674,  3534,   539,  1766,  4013,  1072,  1072,  4089
        70,      6900,  2016,  1604,  2388,  2378,   653,  3491,   590,  1698,  4032,  1137,  1013,  4087
        71,      7000,  2019,  1591,  2384,  2454,   634,  3446,   642,  1631,  4049,  1204,   954,  4082
